"","Timepoints","Equilibrium","Perturbations"
"716",716,5,1
"717",717,4,1
"718",718,4,1
"719",719,4,1
"720",720,4,2
"721",721,4,2
"722",722,4,1
"723",723,4,1
"724",724,4,1
"725",725,4,2
"726",726,4,2
"727",727,4,2
"728",728,3,2
"729",729,3,2
"730",730,3,2
"731",731,3,2
"732",732,3,1
"733",733,3,2
"734",734,3,2
"735",735,3,2
"736",736,3,2
"737",737,3,2
"738",738,3,2
"739",739,3,1
"740",740,3,1
"741",741,3,1
"742",742,3,1
"743",743,4,1
"744",744,4,1
"745",745,4,1
"746",746,4,1
"747",747,4,1
"748",748,4,1
"749",749,4,1
"750",750,4,1
"751",751,4,1
"752",752,4,1
"753",753,3,2
"754",754,2,2
"755",755,3,2
"756",756,3,3
"757",757,3,3
"758",758,3,3
"759",759,3,3
"760",760,4,3
"761",761,4,2
"762",762,3,2
"763",763,3,2
"764",764,3,2
"765",765,3,1
"766",766,3,1
"767",767,3,1
"768",768,3,1
"769",769,3,1
"770",770,4,0
"771",771,5,0
"772",772,6,0
"773",773,5,0
"774",774,5,1
"775",775,5,1
"776",776,6,0
"777",777,5,0
"778",778,5,0
"779",779,5,0
"780",780,5,0
"781",781,5,0
"782",782,5,0
"783",783,5,0
"784",784,5,0
"785",785,5,0
"786",786,6,0
"787",787,6,0
"788",788,6,0
"789",789,6,0
"790",790,5,0
"791",791,5,0
"792",792,5,0
"793",793,5,0
"794",794,5,0
"795",795,5,0
"796",796,5,0
"797",797,5,0
"798",798,5,0
"799",799,5,0
"800",800,5,0
"801",801,5,0
"802",802,5,0
"803",803,5,1
"804",804,5,1
"805",805,5,1
"806",806,5,1
"807",807,6,1
"808",808,7,1
"809",809,7,0
"810",810,7,1
"811",811,7,1
"812",812,7,1
"813",813,7,1
"814",814,7,1
"815",815,8,0
"816",816,8,0
"817",817,9,0
"818",818,9,0
"819",819,9,0
"820",820,8,0
"821",821,9,0
"822",822,9,0
"823",823,9,0
"824",824,9,0
"825",825,9,1
"826",826,9,1
"827",827,8,1
"828",828,8,2
"829",829,8,2
"830",830,8,2
"831",831,8,2
"832",832,8,2
"833",833,8,2
"834",834,7,2
"835",835,7,2
"836",836,8,1
